match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-795054851,2024-01-27,2024,Asian Cricket Council Men's Challenger Cup,0,Qualifying Group,Myanmar,Cambodia,"Terdthai Cricket Ground, Bangkok",Bangkok,Cambodia,field,Cambodia,unknown,T20,Myanmar,72,8,21.3,Cambodia,74,3,9.7,2024,1,Myanmar,Cambodia,72.0,74.0,completed,1431.44319162861,1433.12590004001,-1.68270841140134,0.4,0.4,0.3,0.25,0.5
-128991576,2024-01-28,2024,Ireland Women tour of Zimbabwe,0,Unknown,Ireland,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Ireland,unknown,T20,Ireland,172,3,21.3,Zimbabwe,130,8,21.8,2024,1,Ireland,Zimbabwe,172.0,130.0,completed,1584.24224159861,1636.54025508592,-52.2980134873158,0.6,0.4,0.6,0.5,0.6
-355475247,2024-01-28,2024,South Africa Women tour of Australia,0,Unknown,Australia,South Africa,"Manuka Oval, Canberra",Canberra,Australia,bat,South Africa,unknown,T20,Australia,142,6,21.0,South Africa,144,4,19.5,2024,1,Australia,South Africa,142.0,144.0,completed,1775.51872577122,1579.64493045518,195.873795316039,0.6,0.5,0.5,0.4,1.0
3570565223,2024-01-28,2024,Asian Cricket Council Men's Challenger Cup,0,Qualifying Group,Cambodia,China,"Terdthai Cricket Ground, Bangkok",Bangkok,Cambodia,bat,Cambodia,unknown,T20,Cambodia,130,5,21.8,China,37,10,16.5,2024,1,Cambodia,China,130.0,37.0,completed,1449.04840905983,1446.23501086944,2.81339819038931,0.6,0.4,0.333333333333333,0.2,0.5
-968912356,2024-01-30,2024,Ireland Women tour of Zimbabwe,0,Unknown,Ireland,Zimbabwe,Harare Sports Club,Harare,Ireland,bat,Ireland,unknown,T20,Ireland,169,3,20.3,Zimbabwe,109,7,20.8,2024,1,Ireland,Zimbabwe,169.0,109.0,completed,1602.63262753855,1618.14986914599,-15.5172416074408,0.8,0.2,0.6,0.5,0.625
5792920316,2024-01-30,2024,South Africa Women tour of Australia,0,Unknown,South Africa,Australia,"Bellerive Oval, Hobart",Hobart,Australia,field,Australia,unknown,T20,South Africa,162,7,20.3,Australia,163,5,20.0,2024,1,South Africa,Australia,162.0,163.0,completed,1603.81723978793,1751.34641643847,-147.529176650547,0.6,0.6,0.5,0.4,0.1
6416657869,2024-02-01,2024,Ireland Women tour of Zimbabwe,0,Unknown,Zimbabwe,Ireland,Harare Sports Club,Harare,Ireland,field,Ireland,unknown,T20,Zimbabwe,65,5,8.3,Ireland,70,1,8.0,2024,2,Zimbabwe,Ireland,65.0,70.0,completed,1601.43574852059,1619.34674816394,-17.9109996433447,0.2,1.0,0.5,0.6,0.352941176470588
-676339556,2024-02-01,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Indonesia,Bhutan,"Terdthai Cricket Ground, Bangkok",Bangkok,Bhutan,field,Indonesia,unknown,T20,Indonesia,132,7,21.0,Bhutan,116,10,20.3,2024,2,Indonesia,Bhutan,132.0,116.0,completed,1480.66030456946,1459.08891845082,21.5713861186375,0.5,0.2,0.45,0.4,0.5
4396300098,2024-02-02,2024,Ireland Women tour of Zimbabwe,0,Unknown,Ireland,Zimbabwe,Harare Sports Club,Harare,Zimbabwe,field,Ireland,unknown,T20,Ireland,138,7,20.8,Zimbabwe,124,8,21.0,2024,2,Ireland,Zimbabwe,138.0,124.0,completed,1634.52264606604,1586.2598506185,48.2627954475381,1.0,0.0,0.7,0.4,0.666666666666667
2756115603,2024-02-02,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Japan,Thailand,"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand,field,Japan,unknown,T20,Japan,166,6,20.7,Thailand,120,10,17.8,2024,2,Japan,Thailand,166.0,120.0,completed,1431.59076008712,1575.93559141634,-144.344831329219,0.0,0.5,0.3,0.65,0.5
8337727815,2024-02-02,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Singapore,Maldives,"Terdthai Cricket Ground, Bangkok",Bangkok,Singapore,bat,Singapore,unknown,T20,Singapore,199,4,21.5,Maldives,158,8,21.2,2024,2,Singapore,Maldives,199.0,158.0,completed,1327.06273003088,1344.79603139902,-17.7333013681366,0.0,0.0,0.4,0.1,0.5
-180637706,2024-02-03,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Bhutan,Saudi Arabia,"Terdthai Cricket Ground, Bangkok",Bangkok,Saudi Arabia,field,Saudi Arabia,unknown,T20,Bhutan,89,10,20.2,Saudi Arabia,93,2,11.5,2024,2,Bhutan,Saudi Arabia,89.0,93.0,completed,1444.08104299006,1397.90507370269,46.1759692873682,0.2,0.4,0.3,0.4,0.5
-124633814,2024-02-03,2024,Asian Cricket Council Men's Challenger Cup,0,Unknown,Indonesia,Cambodia,"Terdthai Cricket Ground, Bangkok",Bangkok,Indonesia,bat,Cambodia,unknown,T20,Indonesia,127,6,21.0,Cambodia,132,4,20.0,2024,2,Indonesia,Cambodia,127.0,132.0,completed,1495.66818003022,1464.91885011692,30.7493299133014,0.5,0.8,0.45,0.4,0.5
